Video,Frame,Traffic Density,Proximity,Agent Action,Description
3.mp4,110,1,0,CRUISE,✅ Cruising safely
3.mp4,111,1,0,CRUISE,✅ Cruising safely
3.mp4,112,1,0,CRUISE,✅ Cruising safely
3.mp4,113,1,0,CRUISE,✅ Cruising safely
3.mp4,114,1,0,CRUISE,✅ Cruising safely
3.mp4,115,1,0,CRUISE,✅ Cruising safely
3.mp4,116,1,0,CRUISE,✅ Cruising safely
3.mp4,117,1,0,CRUISE,✅ Cruising safely
3.mp4,118,1,0,CRUISE,✅ Cruising safely
3.mp4,119,1,0,CRUISE,✅ Cruising safely
3.mp4,120,1,0,CRUISE,✅ Cruising safely
3.mp4,121,1,0,CRUISE,✅ Cruising safely
3.mp4,122,1,0,CRUISE,✅ Cruising safely
3.mp4,123,1,0,CRUISE,✅ Cruising safely
3.mp4,124,1,0,CRUISE,✅ Cruising safely
3.mp4,125,1,0,CRUISE,✅ Cruising safely
3.mp4,126,1,0,CRUISE,✅ Cruising safely
3.mp4,127,1,0,CRUISE,✅ Cruising safely
3.mp4,128,1,0,CRUISE,✅ Cruising safely
3.mp4,129,1,0,CRUISE,✅ Cruising safely
3.mp4,130,1,0,CRUISE,✅ Cruising safely
3.mp4,131,1,0,CRUISE,✅ Cruising safely
3.mp4,132,1,0,CRUISE,✅ Cruising safely
3.mp4,133,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,134,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,135,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,136,1,0,CRUISE,✅ Cruising safely
3.mp4,137,1,0,CRUISE,✅ Cruising safely
3.mp4,138,1,0,CRUISE,✅ Cruising safely
3.mp4,139,1,0,CRUISE,✅ Cruising safely
3.mp4,140,1,0,CRUISE,✅ Cruising safely
3.mp4,141,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,142,1,0,CRUISE,✅ Cruising safely
3.mp4,143,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,144,1,0,CRUISE,✅ Cruising safely
3.mp4,145,1,0,CRUISE,✅ Cruising safely
3.mp4,146,1,0,CRUISE,✅ Cruising safely
3.mp4,147,1,0,CRUISE,✅ Cruising safely
3.mp4,148,1,0,CRUISE,✅ Cruising safely
3.mp4,149,1,0,CRUISE,✅ Cruising safely
3.mp4,150,1,0,CRUISE,✅ Cruising safely
3.mp4,151,1,0,CRUISE,✅ Cruising safely
3.mp4,152,1,0,CRUISE,✅ Cruising safely
3.mp4,153,1,0,CRUISE,✅ Cruising safely
3.mp4,154,1,0,CRUISE,✅ Cruising safely
3.mp4,155,1,0,CRUISE,✅ Cruising safely
3.mp4,156,1,0,CRUISE,✅ Cruising safely
3.mp4,157,1,0,CRUISE,✅ Cruising safely
3.mp4,158,1,0,CRUISE,✅ Cruising safely
3.mp4,159,1,0,CRUISE,✅ Cruising safely
3.mp4,160,1,0,CRUISE,✅ Cruising safely
3.mp4,161,1,0,CRUISE,✅ Cruising safely
3.mp4,162,1,0,CRUISE,✅ Cruising safely
3.mp4,163,1,0,CRUISE,✅ Cruising safely
3.mp4,164,1,0,CRUISE,✅ Cruising safely
3.mp4,165,1,0,CRUISE,✅ Cruising safely
3.mp4,166,1,0,CRUISE,✅ Cruising safely
3.mp4,167,1,0,CRUISE,✅ Cruising safely
3.mp4,168,1,0,CRUISE,✅ Cruising safely
3.mp4,169,1,0,CRUISE,✅ Cruising safely
3.mp4,170,1,0,CRUISE,✅ Cruising safely
3.mp4,171,1,0,CRUISE,✅ Cruising safely
3.mp4,172,1,0,CRUISE,✅ Cruising safely
3.mp4,173,1,0,CRUISE,✅ Cruising safely
3.mp4,174,1,0,CRUISE,✅ Cruising safely
3.mp4,175,1,0,CRUISE,✅ Cruising safely
3.mp4,176,1,0,CRUISE,✅ Cruising safely
3.mp4,177,1,0,CRUISE,✅ Cruising safely
3.mp4,178,1,0,CRUISE,✅ Cruising safely
3.mp4,179,1,0,CRUISE,✅ Cruising safely
3.mp4,180,1,0,CRUISE,✅ Cruising safely
3.mp4,181,1,0,CRUISE,✅ Cruising safely
3.mp4,182,1,0,CRUISE,✅ Cruising safely
3.mp4,183,1,0,CRUISE,✅ Cruising safely
3.mp4,184,1,0,CRUISE,✅ Cruising safely
3.mp4,185,1,0,CRUISE,✅ Cruising safely
3.mp4,186,1,0,CRUISE,✅ Cruising safely
3.mp4,187,1,0,CRUISE,✅ Cruising safely
3.mp4,188,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,189,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,190,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,191,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,192,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,193,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,194,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,195,2,0,WARN,⚠️ WARNING DRIVER
3.mp4,196,2,0,WARN,⚠️ WARNING DRIVER
